Event ID,Event Name,Year,Country,Region,Status,Submitter,Created At,Updated At,Event Date,Start Date,End Date,Date Comments,Quarantine Start,Quarantine End,Additional Date Info,Latitude,Longitude,Location Description,Original Grid Code,Monitoring Grids,Additional Location Info,Monitoring Programme?,Programme Name,Occurred Before?,Occurred Before Details,Water Discoloration,High Phytoplankton,Seafood Toxin,Mass Mortality,Foam/Mucilage,Freshwater,Other Effect,Other Effect Details,Humans Affected,Natural Fish Affected,Aquaculture Fish Affected,Shellfish Affected,Birds Affected,Marine Mammals Affected,Plankton Affected,Benthic Life Affected,Seaweed Affected,Other Terrestrial Affected,Impact Comments,Terrestrial Comments,Toxin Detected?,Toxicity Range,Unexplained Toxicity,Toxicity Comments,Transvectors,Causative Species,Causative Species Details,Associated Species,Associated Species Details,Syndromes,Toxins Found,Assay Species Tested,Assay Toxins,Assay Concentrations,Assay Methods,Chlorophyll Analysis,Additional Algae Info,Weather Conditions,Wind Direction,Wind Velocity,Water Temp,Salinity,Oxygen Content,Oxygen Saturation,Turbidity,Secchi Disc,Current Velocity,Advected?,In Situ?,Advected Info,Stratification Info,Nutrients,Additional Env Info,Additional Harmful Effect Info,Additional Bloom Info,Management Decision,Economic Losses,References,Contacts
14822,NO-26-015,2026,NORWAY,Region 12 (EUR),Submitted,mona.ring.kleiven@hi.no,2026-06-22,2026-06-22,,2026-05-04,2026-06-01,,,,,58.27608,5.54725,"Nordasundet, Egersund",,NO-10,,No,,,,No,Yes,No,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,No,No,,,Alexandrium,Alexandrium [200 cells/L] (week 19 and 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harvesting was locally banned. The public was warned against picking toxic mussels.,Unknown,,Mona Ring Kleiven
14819,NO-26-012,2026,NORWAY,Region 12 (EUR),Submitted,mona.ring.kleiven@hi.no,2026-06-22,2026-06-22,,2026-04-20,2026-06-01,,,,,60.517717,4.890717,"Ulvsundet, Øygården",,NO-10,,No,,,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,1260-645 µg/kg,Yes,Week21,Mytulis edulis,,,,,PSP,,Alexandrium,STX eq,1260 µg/kg,,,,,,,,,,,,,,,,,,,,,,Harvesting was locally banned. The public was warned against picking toxic mussels.,Unknown,,Mona Ring Kleiven
14810,NO-26-003,2026,NORWAY,Region 12 (EUR),Submitted,mona.ring.kleiven@hi.no,2026-05-18,2026-05-18,,2026-04-20,2026-05-04,,,,Peak 23 th of April,58.424515,8.756882,"Flødevigen, Arendal, Agder.",,NO-11,,No,,,,No,Yes,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,,,No,No,No,,,Chrysochromulina,Chrysochromulina [2378273 cells/L] (23.4.26),,,,,,,,,,,,,,,,,,,,,,,0-3 m,,,,,,Fish farms warned,None,,Mona Ring Kleiven
14821,NO-26-014,2026,NORWAY,Region 12 (EUR),Submitted,mona.ring.kleiven@hi.no,2026-06-22,2026-06-22,,2026-04-20,2026-06-15,,,,,62.50362,6.47496,"Mørkesetsundet, Ålesund",,NO-08,,No,,,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,PSP: 929-505 µg/kg/ AZP: 3267 µg/kg,Yes,,Mytulis edulis,,,,,PSP; AZP,,,,,,,,,,,,,,,,,,,,,,,,,,Harvesting was locally banned. The public was warned against picking toxic mussels.,Unknown,,Mona Ring Kleiven
14812,NO-26-005,2026,NORWAY,Region 12 (EUR),Submitted,mona.ring.kleiven@hi.no,2026-06-22,2026-06-22,2026-04-06,,,,2026-04-20,2026-06-15,Alexandrium spp from week 15.,59.15,10.69,"Djupeklo, Fredrikstad",,NO-14,,No,,,,No,Yes,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,945-696 µg/kg,No,,Mytulis edulis,Alexandrium,Alexandrium [280 cells/L] (week 15 and week 21),,,PSP,,Alexandrium,STX eq,945 µg/kg,,,,,,,,,,,,,,,,,,,,,,Harvesting was locally banned. The public was warned against picking toxic mussels.,Unknown,,Mona Ring Kleiven
14813,NO-26-006,2026,NORWAY,Region 12 (EUR),Submitted,mona.ring.kleiven@hi.no,2026-06-22,2026-06-22,,2026-04-06,2026-05-18,,,,,59.79,10.53,,,NO-13,,No,,,,No,Yes,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,DSP: 154µg/kg/PSP: 366µg/kg,No,,Mytulis edulis,Alexandrium; Dinophysis acuminata,Alexandrium [80 cells/L] (week 17); Dinophysis acuminata [2400 cells/L] (week 17),,,DSP; PSP,,Alexandrium; Dinophysis,STX eq; OA eq,366µg/kg; 154µg/kg,,,,,,,,,,,,,,,,,,,,,,Harvesting was locally banned. The public was warned against picking toxic mussels.,Unknown,,Mona Ring Kleiven
14814,NO-26-007,2026,NORWAY,Region 12 (EUR),Submitted,mona.ring.kleiven@hi.no,2026-06-22,2026-06-22,,2026-05-25,2026-06-08,,,,,58.424515,8.756882,,,NO-11,,No,,,,No,No,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,470 µg/kg,Yes,,,,,,,PSP,,,,,,,,,,,,,,,,,,,,0-3 meters,,,,Harvesting was locally banned. The public was warned against picking toxic mussels.,,Harvesting was locally banned. The public was warned against picking toxic mussels.,Unknown,,Mona Ring Kleiven
14818,NO-26-011,2026,NORWAY,Region 12 (EUR),Submitted,mona.ring.kleiven@hi.no,2026-06-22,2026-06-22,2026-04-20,2026-04-20,2026-05-18,,,,,59.256572,10.49964,"Vallø, Tønsberg",,NO-13,,No,,,,No,Yes,No,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,No,No,,,Dinophysis acuminata,Dinophysis acuminata [2720 cells/L] (week 7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harvesting was locally banned. The public was warned against picking toxic mussels.,Unknown,,Mona Ring Kleiven
14817,NO-26-010,2026,NORWAY,Region 12 (EUR),Submitted,mona.ring.kleiven@hi.no,2026-06-22,2026-06-22,,2026-04-20,2026-06-15,,,,,59.24973,10.73148,"Wngelsviken, Fredrikstad",,NO-14,,No,,,,No,Yes,Yes,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,No,,,Yes,DSP: 169µg/kg/PSP: 442 µg/kg,No,,Mytulis edulis,Alexandrium; Alexandrium minutum,Alexandrium [240 cells/L] (week 21); Alexandrium minutum [280 cells/L] (week 19),,,DSP; PSP,,Alexandrium; Dinophysis,STX eq; OA eq,442 µg/kg; 169 µg/kg,,,,,,,,,,,,,,,,,,,,,,Harvesting was locally banned. The public was warned against picking toxic mussels.,Unknown,,Mona Ring Kleiven
14809,NO-26-002,2026,NORWAY,Region 12 (EUR),Submitted,mona.ring.kleiven@hi.no,2026-05-05,2026-05-05,,2026-03-17,2026-04-01,,,,Peak 23 th of March,58.29705,6.66069,Flekkefjord,,NO-10,"Lokation Napp, Buksevika and Varnes",No,,,,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,,,No,No,No,,,Chrysochromulina,Chrysochromulina [1030000 cells/L] (Napp 23 th of March),,,,,,,,,,Round and oval forms,,,,,,,,,,,,,,,,,"Fisk farms were warned, and fish moved/slaugthered",,"Fish farms were warned, and fish moved/slaugthered",No details,,Mona Ring Kleiven
